experiment_id,runner,model_name,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_average_precision,val_eer,best_threshold_for_epoch,learning_rate
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,1,0.33134625822967956,0.8023231433629989,0.6315,0.5941977077363897,0.8295,0.6924040066777963,0.7256353125,0.7408059302048122,0.336375,0.45,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,2,0.14089853368865118,1.0861876318454742,0.640375,0.6004292613128241,0.83925,0.7000312793243666,0.7437276875,0.7654327009032245,0.32875,0.5,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,3,0.08617000283466444,1.0937739189863205,0.672125,0.6409416581371545,0.78275,0.7047833427124367,0.7551395625,0.7736450173300901,0.308875,0.5,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,4,0.06199485082510445,1.1675875548124313,0.6555,0.6134622400583729,0.84075,0.7093440202488926,0.7593810624999999,0.7732376166692678,0.3065,0.3,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,5,0.05410776057259904,1.161824140548706,0.7255,0.702423698384201,0.7825,0.740302743614002,0.7917095000000001,0.7978405976911536,0.26475,0.6500000000000001,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,6,0.0361710176297153,1.4233352055549622,0.67875,0.6414161392405063,0.81075,0.7162102473498233,0.75989421875,0.7692893468457616,0.304375,0.4,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,7,0.03333983944325397,1.5544365521669388,0.65225,0.6124861470262283,0.829,0.7044826853622265,0.7586224687500001,0.7800402992948101,0.3135,0.2,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,8,0.030938292550285244,1.7004362223148346,0.67,0.6319875776397516,0.814,0.7115384615384616,0.76611490625,0.782704250282515,0.3075,0.5,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,9,0.02657086030016136,1.5888391094207763,0.67925,0.641699604743083,0.81175,0.7167770419426048,0.77720059375,0.7937078270028525,0.29875,0.5,0.0001
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,zuha,01_efficientnet_b0,10,0.019356037601673353,1.9667431837320328,0.678625,0.6425863101177409,0.805,0.7146820552657862,0.7636449062499999,0.7694718467687256,0.30625,0.55,0.0001
