experiment_id,timestamp,runner,model_name,run_type,epochs,batch_size,learning_rate,optimizer,weight_decay,scheduler,loss_function,image_size,pretrained,freeze_backbone,augmentation_type,seed,train_datasets_used,evaluation_dataset,use_wang_train,use_wang_val_as_train,use_wang_test_as_train,use_wang_cnn_synth_test_as_train,use_corvi_train,use_dmimagedetect_train,use_realraise_train,num_train_images,num_eval_images,real_train_count,synthetic_train_count,real_eval_count,synthetic_eval_count,best_epoch,best_val_loss,accuracy,precision,recall,f1,roc_auc,average_precision,eer,threshold,tn,fp,fn,tp,notes,summary_csv_path,model_folder,rank
20260514_105614_zuha_01_efficientnet_b0_constrained_ep5_bs32_lr0p0001_basic,20260514_105614,zuha,01_efficientnet_b0,constrained,5,32,0.0001,adamw,0.0001,none,BCEWithLogitsLoss,224,True,False,basic,42,"corvi_latent_diffusion,wang_cnndetection_cnn_synth_test,wang_cnndetection_val",dmimagedetect_test,False,True,False,True,True,False,False,18000,8000,6006,11994,4000,4000,5,1.161824141,0.7255,0.702423698,0.7825,0.740302744,0.7917095,0.797840598,0.26475,0.65,2674,1326,870,3130,Experiment #2 = EfficientNet-B0 baseline with basic augmentation + added wang cnn synth test as train,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\01_efficientnet_b0\01_efficientnet_b0_summary.csv,01_efficientnet_b0,1
20260514_130821_zuha_01_efficientnet_b0_constrained_ep10_bs32_lr0p0001_basic,20260514_130821,zuha,01_efficientnet_b0,constrained,10,32,0.0001,adamw,0.0001,none,BCEWithLogitsLoss,224,True,False,basic,42,"corvi_latent_diffusion,wang_cnndetection_cnn_synth_test,wang_cnndetection_val",dmimagedetect_test,False,True,False,True,True,False,False,18000,8000,6006,11994,4000,4000,5,1.161824140548706,0.7255,0.702423698384201,0.7825,0.740302743614002,0.7917095000000001,0.7978405976911536,0.26475,0.6500000000000001,2674,1326,870,3130,Experiment #4 = EfficientNet-B0 baseline with basic augmentation + added wang cnn synth test as train + increased epochs to 5,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\01_efficientnet_b0\01_efficientnet_b0_summary.csv,01_efficientnet_b0,2
20260514_205725_zuha_01_efficientnet_b0_open_ep5_bs32_lr0p0001_basic,20260514_205725,zuha,01_efficientnet_b0,open,5,32,0.0001,adamw,0.0001,none,BCEWithLogitsLoss,224,True,False,basic,42,"corvi_latent_diffusion,dmimagedetect_train_fake_only,wang_cnndetection_cnn_synth_test,wang_cnndetection_val",dmimagedetect_test,False,True,False,True,True,True,False,24000,8000,6006,17994,4000,4000,3,0.9912177518606186,0.68725,0.6529820261437909,0.79925,0.71875,0.77457596875,0.7945712560741102,0.2947499999999999,0.45,2301,1699,803,3197,Experiment #9 = Open run: Exp #2 best setup + DMImageDetect train synthetic images,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\01_efficientnet_b0\01_efficientnet_b0_summary.csv,01_efficientnet_b0,3
20260514_162646_zuha_01_efficientnet_b0_constrained_ep8_bs32_lr0p001_light_aug,20260514_162646,zuha,01_efficientnet_b0,constrained,8,32,0.001,adamw,0.0001,cosine,BCEWithLogitsLoss,224,True,False,light_aug,42,"corvi_latent_diffusion,wang_cnndetection_cnn_synth_test,wang_cnndetection_val",dmimagedetect_test,False,True,False,True,True,False,False,18000,8000,6006,11994,4000,4000,5,1.2552752282619477,0.677125,0.6371732817037754,0.82275,0.7181669394435352,0.7752465625,0.7922974720289055,0.3025,0.25,2126,1874,709,3291,Experiment #6 = Exp #2 + light_aug augmentation + cosine scheduler + 8 epochs + 1e-3 LR,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\01_efficientnet_b0\01_efficientnet_b0_summary.csv,01_efficientnet_b0,4
20260514_194804_zuha_01_efficientnet_b0_open_ep8_bs32_lr5em05_basic,20260514_194804,zuha,01_efficientnet_b0,open,8,32,5e-05,adamw,0.0001,cosine,BCEWithLogitsLoss,224,True,False,basic,42,"corvi_latent_diffusion,wang_cnndetection_cnn_synth_test,wang_cnndetection_val",dmimagedetect_test,False,True,False,True,True,False,False,18000,8000,6006,11994,4000,4000,8,1.0847433190345763,0.67275,0.6320213985479557,0.827,0.7164825644357808,0.7632730624999999,0.7748127534550866,0.303375,0.4,2074,1926,692,3308,Experiment #8 = Exp #2 + lower LR 5e-5 + cosine scheduler + 8 epochs + type open,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\01_efficientnet_b0\01_efficientnet_b0_summary.csv,01_efficientnet_b0,5
20260514_174327_zuha_01_efficientnet_b0_constrained_ep5_bs32_lr0p0001_light_aug,20260514_174327,zuha,01_efficientnet_b0,constrained,5,32,0.0001,adamw,0.0001,none,BCEWithLogitsLoss,224,True,False,light_aug,42,"corvi_latent_diffusion,wang_cnndetection_cnn_synth_test,wang_cnndetection_val",dmimagedetect_test,False,True,False,True,True,False,False,18000,8000,6006,11994,4000,4000,5,1.3046267926692965,0.675125,0.6376498329730792,0.81125,0.7140499504896028,0.7498149999999999,0.7504796934592377,0.3095,0.4,2156,1844,755,3245,Experiment #7 = Exp #2 + light_aug augmentation,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\01_efficientnet_b0\01_efficientnet_b0_summary.csv,01_efficientnet_b0,6
20260514_114402_zuha_01_efficientnet_b0_constrained_ep5_bs32_lr0p0001_basic,20260514_114402,zuha,01_efficientnet_b0,constrained,5,32,0.0001,adamw,0.0001,none,BCEWithLogitsLoss,224,True,False,basic,42,"corvi_latent_diffusion,dmimagedetect_realraise,wang_cnndetection_cnn_synth_test,wang_cnndetection_val",dmimagedetect_test,False,True,False,True,True,False,True,19000,8000,6006,12994,4000,4000,3,1.1245426810979844,0.648375,0.603704350864931,0.86375,0.7106860022626761,0.7393947812500001,0.7352050945537161,0.3235,0.5,1732,2268,545,3455,Experiment #3 = EfficientNet-B0 baseline with basic augmentation + added wang cnn synth test as train + added dmimagedetect realraise as train,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\01_efficientnet_b0\01_efficientnet_b0_summary.csv,01_efficientnet_b0,7
20260514_143232_zuha_01_efficientnet_b0_constrained_ep8_bs32_lr0p0001_jpeg_like,20260514_143232,zuha,01_efficientnet_b0,constrained,8,32,0.0001,adamw,0.0001,cosine,BCEWithLogitsLoss,224,True,False,jpeg_like,42,"corvi_latent_diffusion,wang_cnndetection_cnn_synth_test,wang_cnndetection_val",dmimagedetect_test,False,True,False,True,True,False,False,18000,8000,6006,11994,4000,4000,7,1.1613278472423554,0.6405,0.5946127946127946,0.883,0.7106639839034206,0.753551625,0.7622565223492411,0.315375,0.15,1592,2408,468,3532,Experiment #5 = Exp 4 + jpeg_like augmentation + cosine scheduler + 8 epochs,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\01_efficientnet_b0\01_efficientnet_b0_summary.csv,01_efficientnet_b0,8
20260514_185439_fatima_02_convnext_tiny_constrained_ep5_bs24_lr0p0001_basic,20260514_185439,fatima,02_convnext_tiny,constrained,5,24,0.0001,adamw,0.0001,none,BCEWithLogitsLoss,224,True,False,basic,42,"corvi_latent_diffusion,wang_cnndetection_val",dmimagedetect_test,False,True,False,False,True,False,False,12000,8000,3027,8973,4000,4000,3,2.867096085,0.631,0.584899546,0.9025,0.709791585,0.765415125,0.778125188,0.311625,0.95,1438,2562,390,3610,"experiment #2 - ConvNeXt-Tiny full baseline, Wang + Corvi, basic augmentation",C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\02_convnext_tiny\02_convnext_tiny_summary.csv,02_convnext_tiny,9
20260514_153421_fatima_02_convnext_tiny_constrained_ep2_bs24_lr0p0001_basic,20260514_153421,fatima,02_convnext_tiny,constrained,2,24,0.0001,adamw,0.0001,none,BCEWithLogitsLoss,224,True,False,basic,42,"corvi_latent_diffusion,wang_cnndetection_val",dmimagedetect_test,False,True,False,False,True,False,False,12000,8000,3027,8973,4000,4000,1,2.701956622,0.621125,0.577309718,0.9045,0.704782312,0.774569031,0.802863933,0.3085,0.95,1351,2649,382,3618,experiment #1 - ConvNeXt-Tiny baseline with basic augmentation,C:\Users\DELL\Documents\genai-comp\MediaEval26-Synthetic-Images\outputs\02_convnext_tiny\02_convnext_tiny_summary.csv,02_convnext_tiny,10
